NAID,doc_type,model,prompt,CER
28930868,Memo,GPT-4o Mini,All,0.007497521815958768
28976751,Memo,GPT-4o Mini,All,0.09842779759545513
28957510,Form,GPT-4o Mini,All,0.021567918317650033
28932150,Form,GPT-4o Mini,All,0.0818854222583447
28967725,Form,GPT-4o Mini,All,0.10016583747927027
28942941,Form,GPT-4o Mini,All,0.04248724494703257
28937540,Form,GPT-4o Mini,All,0.22971979533068967
28943901,Form,GPT-4o Mini,All,0.01167280202367859
28939621,Memo,GPT-4o Mini,All,0.024928384226244844
28942727,Form,GPT-4o Mini,All,0.0967641325536062
28931705,Memo,GPT-4o Mini,All,0.11011053715831869
28978074,Memo,GPT-4o Mini,All,0.09795333546101352
28951559,Form,GPT-4o Mini,All,0.003034726819914767
28971645,Form,GPT-4o Mini,All,0.11312566283147572
28981950,Form,GPT-4o Mini,All,0.1916147991327825
28968489,Form,GPT-4o Mini,All,0.6169849398195856
28971456,Memo,GPT-4o Mini,All,
28964100,Article,GPT-4o Mini,All,0.6107867336198175
28937600,Memo,GPT-4o Mini,All,0.08161418747737964
28967827,Form,GPT-4o Mini,All,0.116608817155495
28992103,Form,GPT-4o Mini,All,0.3585028690662493
28993442,Form,GPT-4o Mini,All,0.08733816107087992
28950512,Memo,GPT-4o Mini,All,0.055825309924413036
28944179,Memo,GPT-4o Mini,All,0.7183718371837183
28973402,Form,GPT-4o Mini,All,0.007711181212758489
28978398,Image/Map,GPT-4o Mini,All,0.5585012181368141
28961780,Memo,GPT-4o Mini,All,0.06493780307822049
28944035,Memo,GPT-4o Mini,All,0.0587542087542087
28998146,Form,GPT-4o Mini,All,0.04908079798429878
28934472,Form,GPT-4o Mini,All,0.01172729079705819
28936287,Memo,GPT-4o Mini,All,0.023286759813705867
28939248,Article,GPT-4o Mini,All,0.006491525090227111
28940961,Form,GPT-4o Mini,All,0.035917312661498654
28977130,Form,GPT-4o Mini,All,0.006707065265858133
28973982,Form,GPT-4o Mini,All,0.06906906906906901
28932295,Article,GPT-4o Mini,All,0.42879499217527384
28997081,Form,GPT-4o Mini,All,0.0038197561532165333
28984028,Image/Map,GPT-4o Mini,All,0.8620689655172413
28984612,Memo,GPT-4o Mini,All,0.02302251561425249
28933052,Form,GPT-4o Mini,All,0.014727155774575288
28992561,Memo,GPT-4o Mini,All,
28997278,Form,GPT-4o Mini,All,0.032419528250336456
29000562,Memo,GPT-4o Mini,All,0.001374417273477411
28992462,Form,GPT-4o Mini,All,0.06295081967213106
28987698,Form,GPT-4o Mini,All,0.09735626556319038
28969412,Form,GPT-4o Mini,All,0.07049093838673333
28941795,Form,GPT-4o Mini,All,0.21587301587301586
28960409,Form,GPT-4o Mini,All,1.0
28938572,Memo,GPT-4o Mini,All,0.012779122948614411
28930793,Memo,GPT-4o Mini,All,0.06437768240343344
28997563,Image/Map,GPT-4o Mini,All,0.02115379007038891
28952995,Form,GPT-4o Mini,All,0.024888812396489445
28952481,Memo,GPT-4o Mini,All,0.3038548752834467
28955301,Memo,GPT-4o Mini,All,0.06532523729759909
28965919,Form,GPT-4o Mini,All,0.1025045184611412
28978886,Form,GPT-4o Mini,All,0.18952641165755915
28930330,Memo,GPT-4o Mini,All,0.0445344129554655
28991349,Form,GPT-4o Mini,All,0.15007401040920587
28992015,Summary Table,GPT-5,Expert,0.323943661971831
28973130,Memo,GPT-5,Expert,0.044231646146830804
28997059,Image/Map,GPT-5,Expert,1.0
28982089,Memo,GPT-5,Expert,0.05913598038557357
28974641,Form,GPT-5,Expert,0.0484547241561031
28989706,Memo,GPT-5,Expert,0.04996748985760407
28993832,Form,GPT-5,Expert,0.09600569859028753
29000943,Form,GPT-5,Expert,0.21471471471471468
28921378,Summary Table,GPT-5,Expert,0.04184890523727073
28992946,Form,GPT-5,Expert,0.13965906757034297
